"year","region","abbreviation","totalballots","vap","vep"
"2008","louisiana","LA","1979852","3342279","3204721"
"2008","maine","ME","744456","1049816","1036168"
"2008","maryland","MD","2661905","4342850","3925994"
"2008","massachusetts","MA","3102995","5058035","4611636"
"2008","michigan","MI","5039080","7528460","7231283"
"2008","minnesota","MN","2921147","3975974","3740671"
"2008","mississippi","MS","","2190402","2113435"
"2008","missouri","MO","2950504","4507688","4325788"
"2008","montana","MT","497599","755384","742019"
"2008","nebraska","NE","811923","1348048","1275336"
"2008","nevada","NV","970019","2000277","1696872"
"2008","new hampshire","NH","719643","1021787","992519"
"2008","new jersey","NJ","3910220","6651284","5774838"
"2008","new mexico","NM","833365","1505830","1362140"
"2008","new york","NY","7721718","14876971","12945767"
"2008","north carolina","NC","4354571","7096503","6581783"
"2008","north dakota","ND","321133","512768","504650"
"2008","ohio","OH","5773777","8757453","8513103"
"2008","oklahoma","OK","1474694","2770219","2618039"
"2008","oregon","OR","1845251","2916246","2700858"
"2008","pennsylvania","PA","6071357","9813664","9460225"
"2008","rhode island","RI","475428","825786","763936"
"2008","south carolina","SC","1927153","3473488","3309462"
"2008","south dakota","SD","387449","602539","590607"
"2008","tennessee","TN","2618238","4771926","4562424"
"2008","texas","TX","","17756112","14921530"
"2008","utah","UT","971185","1840087","1701049"
"2008","vermont","VT","326822","492610","482758"
"2008","virginia","VA","3753059","6022123","5557344"
"2008","washington","WA","3071587","5032960","4560012"
"2008","west virginia","WV","731691","1453045","1430218"
"2008","wisconsin","WI","2997086","4306876","4120029"
"2008","wyoming","WY","256035","418040","405766"
"2006","alabama","AL","","3513952","3369212"
"2006","alaska","AK","238307","492452","461202"
"2006","arizona","AZ","1553032","4490327","3845808"
"2006","arkansas","AR","780409","2130080","2013638"
"2006","california","CA","8899059","26739781","21398706"
"2006","colorado","CO","1586105","3569901","3253632"
"2006","connecticut","CT","1162391","2683538","2448401"
"2006","delaware","DE","258053","659410","608176"
"2006","district of columbia","DC","122356","466827","421545"
"2006","florida","FL","4884544","14211669","12300449"
"2006","georgia","GA","2143845","6799654","6009442"
"2006","hawaii","HI","348988","1012975","924957"
"2006","idaho","ID","458927","1072895","991777"
"2006","illinois","IL","3586292","9483856","8566235"
"2006","indiana","IN","1719351","4743856","4570705"
"2006","iowa","IA","1071509","2267991","2180741"
"2006","kansas","KS","864083","2062668","1944482"
"2006","kentucky","KY","1370062","3218000","3106115"
"2006","louisiana","LA","954896","3239317","3094418"
"2006","maine","ME","","1037200","1019568"
"2006","maryland","MD","1809237","4261205","3849505"
"2006","massachusetts","MA","2243835","4970780","4527290"
"2006","michigan","MI","3852008","7532918","7210156"
"2006","minnesota","MN","2217552","3896561","3656145"
"2006","mississippi","MS","","2154112","2091017"
"2006","missouri","MO","2178278","4427266","4253843"
"2006","montana","MT","411061","734669","723750"
"2006","nebraska","NE","610499","1325932","1254482"
"2006","nevada","NV","586274","1907976","1610204"
"2006","new hampshire","NH","418550","1006234","969217"
"2006","new jersey","NJ","2315643","6565183","5669798"
"2006","new mexico","NM","568597","1464560","1329678"
"2006","new york","NY","4703830","14665626","12730240"
"2006","north carolina","NC","2036451","6799585","6309438"
"2006","north dakota","ND","220479","503647","494729"
"2006","ohio","OH","4184072","8687609","8447316"
"2006","oklahoma","OK","","2709819","2559856"
"2006","oregon","OR","1399650","2829482","2609223"
"2006","pennsylvania","PA","","9680466","9345655"
"2006","rhode island","RI","392882","824887","754075"
"2006","south carolina","SC","1117311","3332190","3179695"
"2006","south dakota","SD","341105","589178","575127"
"2006","tennessee","TN","1868363","4641909","4437356"
"2006","texas","TX","","17029802","14257793"
"2006","utah","UT","582561","1752158","1621325"
"2006","vermont","VT","263025","487141","477398"
"2006","virginia","VA","2398589","5867219","5408856"
"2006","washington","WA","2085074","4861001","4388954"
"2006","west virginia","WV","473014","1439052","1417996"
"2006","wisconsin","WI","2183155","4240696","4050475"
"2006","wyoming","WY","196217","400187","386847"
"2004","alabama","AL","1890317","3427542","3309755"
"2004","alaska","AK","314502","476378","449083"
"2004","arizona","AZ","2038069","4215706","3658926"
"2004","arkansas","AR","1070573","2072986","1972057"
"2004","california","CA","12589367","26246548","21035883"
"2004","colorado","CO","2148036","3443164","3157788"
"2004","connecticut","CT","1607808","2652587","2436378"
"2004","delaware","DE","377407","635370","588633"
"2004","district of columbia","DC","230105","458758","412882"
"2004","florida","FL","7640319","13643828","11885513"
"2004","georgia","GA","3317336","6499325","5775727"
"2004","hawaii","HI","431662","982882","899288"
"2004","idaho","ID","612786","1016255","943617"
"2004","illinois","IL","5350493","9391420","8501813"
"2004","indiana","IN","2512142","4660157","4510573"
"2004","iowa","IA","1521966","2239979","2158396"
"2004","kansas","KS","1213108","2032763","1924522"
"2004","kentucky","KY","1816867","3157464","3061375"
"2004","louisiana","LA","1956590","3379937","3238731"
"2004","maine","ME","751519","1022043","1005690"
