"DIST_NAME","SY","kindercount"
"New Bedford",2018,643
"New Bedford",2019,619
"New Bedford",2020,522
"New Bedford",2021,522
"New Bedford",2022,571
"New Bedford",2023,639
"New Salem-Wendell",2018,17
"New Salem-Wendell",2019,21
"New Salem-Wendell",2020,19
"New Salem-Wendell",2021,16
"New Salem-Wendell",2022,16
"New Salem-Wendell",2023,14
"Newburyport",2018,118
"Newburyport",2019,134
"Newburyport",2020,153
"Newburyport",2021,107
"Newburyport",2022,115
"Newburyport",2023,103
"Norfolk",2018,120
"Norfolk",2019,124
"Norfolk",2020,133
"Norfolk",2021,162
"Norfolk",2022,146
"Norfolk",2023,128
"North Adams",2018,105
"North Adams",2019,105
"North Adams",2020,112
"North Adams",2021,75
"North Adams",2022,101
"North Adams",2023,95
"North Andover",2018,70
"North Andover",2019,343
"North Andover",2020,322
"North Andover",2021,283
"North Andover",2022,288
"North Andover",2023,302
"North Brookfield",2018,41
"North Brookfield",2019,38
"North Brookfield",2020,39
"North Brookfield",2021,39
"North Brookfield",2022,35
"North Brookfield",2023,27
"North Reading",2018,56
"North Reading",2019,22
"North Reading",2020,60
"North Reading",2021,103
"North Reading",2022,97
"North Reading",2023,127
"Northampton",2018,93
"Northampton",2019,87
"Northampton",2020,91
"Northampton",2021,70
"Northampton",2022,67
"Northampton",2023,80
"Northbridge",2018,156
"Northbridge",2019,132
"Northbridge",2020,162
"Northbridge",2021,145
"Northbridge",2022,155
"Northbridge",2023,146
"Norton",2018,104
"Norton",2019,89
"Norton",2020,98
"Norton",2021,103
"Norton",2022,91
"Norton",2023,97
"Norwell",2018,143
"Norwell",2019,152
"Norwell",2020,168
"Norwell",2021,156
"Norwell",2022,160
"Norwell",2023,151
"Norwood",2018,280
"Norwood",2019,264
"Norwood",2020,268
"Norwood",2021,265
"Norwood",2022,263
"Norwood",2023,262
"Oak Bluffs",2018,29
"Oak Bluffs",2019,49
"Oak Bluffs",2020,35
"Oak Bluffs",2021,46
"Oak Bluffs",2022,35
"Oak Bluffs",2023,46
"Orange",2018,72
"Orange",2019,69
"Orange",2020,66
"Orange",2021,54
"Orange",2022,75
"Orange",2023,63
"Palmer",2018,104
"Palmer",2019,102
"Palmer",2020,95
"Palmer",2021,88
"Palmer",2022,94
"Palmer",2023,81
"Peabody",2018,191
"Peabody",2019,211
"Peabody",2020,215
"Peabody",2021,168
"Peabody",2022,186
"Peabody",2023,187
"Pembroke",2018,56
"Pembroke",2019,77
"Pembroke",2020,58
"Pembroke",2021,68
"Pembroke",2022,60
"Pembroke",2023,72
"Pentucket",2018,162
"Pentucket",2019,159
"Pentucket",2020,173
"Pentucket",2021,134
"Pentucket",2022,176
"Pentucket",2023,172
"Pioneer Valley",2018,60
"Pioneer Valley",2019,53
"Pioneer Valley",2020,35
"Pioneer Valley",2021,43
"Pioneer Valley",2022,45
"Pioneer Valley",2023,45
"Pittsfield",2018,241
"Pittsfield",2019,189
"Pittsfield",2020,187
"Pittsfield",2021,196
"Pittsfield",2022,355
"Pittsfield",2023,372
"Plainville",2018,92
"Plainville",2019,87
"Plainville",2020,85
"Plainville",2021,64
"Plainville",2022,90
"Plainville",2023,88
"Provincetown",2018,7
"Provincetown",2019,10
"Provincetown",2020,9
"Provincetown",2021,11
"Provincetown",2022,10
"Provincetown",2023,10
"Quabbin",2018,47
"Quabbin",2019,51
"Quabbin",2020,102
"Quabbin",2021,70
"Quabbin",2022,156
"Quabbin",2023,119
"Quincy",2018,57
"Quincy",2019,48
"Quincy",2020,53
"Quincy",2021,42
"Quincy",2022,50
"Quincy",2023,37
"Randolph",2018,61
"Randolph",2019,59
"Randolph",2020,53
"Randolph",2021,30
"Randolph",2022,48
"Randolph",2023,61
"Revere",2018,271
"Revere",2019,244
"Revere",2020,253
"Revere",2021,210
"Revere",2022,241
"Revere",2023,261
"Richmond",2018,18
"Richmond",2019,14
"Richmond",2020,18
"Richmond",2021,16
"Richmond",2022,15
"Richmond",2023,12
"Rochester",2018,73
"Rochester",2019,62
"Rochester",2020,55
"Rochester",2021,51
"Rochester",2022,56
"Rochester",2023,57
"Rockport",2018,52
"Rockport",2019,54
"Rockport",2020,49
"Rockport",2021,41
"Rockport",2022,43
"Rockport",2023,42
"Sandwich",2018,164
"Sandwich",2019,182
"Sandwich",2020,155
"Sandwich",2021,140
"Sandwich",2022,151
"Sandwich",2023,151
"Saugus",2018,92
"Saugus",2019,77
"Saugus",2020,54
"Saugus",2021,40
"Saugus",2022,152
"Saugus",2023,148
"Savoy",2018,9
"Savoy",2019,7
"Savoy",2020,7
"Savoy",2021,4
"Savoy",2022,6
"Savoy",2023,6
"Scituate",2018,56
"Scituate",2019,60
"Scituate",2020,62
"Scituate",2021,48
"Scituate",2022,57
"Scituate",2023,68
"Seekonk",2018,140
"Seekonk",2019,161
"Seekonk",2020,156
"Seekonk",2021,148
"Seekonk",2022,153
"Seekonk",2023,86
"Sherborn",2018,49
"Sherborn",2019,54
"Sherborn",2020,65
"Sherborn",2021,55
"Sherborn",2022,63
"Sherborn",2023,54
"Shutesbury",2018,11
"Shutesbury",2019,13
"Shutesbury",2020,17
"Shutesbury",2021,11
"Shutesbury",2022,16
"Shutesbury",2023,11
"Somerset",2018,59
"Somerset",2019,65
"Somerset",2020,66
"Somerset",2021,52
"Somerset",2022,67
"Somerset",2023,60
"Somerville",2018,282
"Somerville",2019,267
"Somerville",2020,318
"Somerville",2021,284
"Somerville",2022,259
"Somerville",2023,320
"South Hadley",2018,133
"South Hadley",2019,144
"South Hadley",2020,126
"South Hadley",2021,81
"South Hadley",2022,128
"South Hadley",2023,104
"Southampton",2018,57
"Southampton",2019,65
"Southampton",2020,60
"Southampton",2021,62
"Southampton",2022,63
"Southampton",2023,60
"Southborough",2018,130
"Southborough",2019,111
"Southborough",2020,140
"Southborough",2021,104
"Southborough",2022,117
"Southborough",2023,142
"Southbridge",2018,166
"Southbridge",2019,141
"Southbridge",2020,167
"Southbridge",2021,142
"Southbridge",2022,140
"Southbridge",2023,134
"Southern Berkshire",2018,42
"Southern Berkshire",2019,43
"Southern Berkshire",2020,38
