household_id,state,husband_age,husband_total_income,wife_age,wife_total_income
519781,Washington,58,60000,NA,NA
519923,Oregon,NA,NA,35,0
520809,Oregon,NA,NA,47,14000
522224,Washington,NA,NA,61,89000
522872,Washington,NA,NA,84,0
524105,Washington,40,13800,NA,NA
525246,Oregon,55,406030,NA,NA
526491,Washington,NA,NA,30,60030
527949,Washington,NA,NA,38,0
529162,Washington,46,40000,NA,NA
530798,Washington,38,32000,NA,NA
530811,Washington,NA,NA,45,117000
531673,Washington,NA,NA,33,9000
531865,Oregon,41,15000,NA,NA
534894,Oregon,27,41300,NA,NA
535956,Oregon,64,28800,NA,NA
536302,Oregon,74,66800,NA,NA
537062,Washington,76,55500,60,110000
537893,Oregon,41,60000,NA,NA
538333,Washington,44,65000,NA,NA
540964,Oregon,NA,NA,50,22000
540991,Oregon,NA,NA,58,0
542055,Oregon,72,37200,NA,NA
542100,Oregon,85,14400,NA,NA
544106,Washington,57,117600,NA,NA
544618,Oregon,NA,NA,35,0
545014,Oregon,65,70000,NA,NA
545908,Oregon,NA,NA,52,106000
546371,Washington,75,2700,NA,NA
547168,Oregon,47,36000,NA,NA
547428,Oregon,NA,NA,27,36000
548135,Oregon,NA,NA,31,6000
548758,Oregon,44,60000,NA,NA
548959,Washington,NA,NA,35,60000
549791,Washington,74,11000,NA,NA
550162,Oregon,NA,NA,33,85000
550847,Washington,57,31000,NA,NA
551064,Washington,77,37900,NA,NA
552058,Oregon,56,84000,NA,NA
553355,Oregon,NA,NA,58,130100
555062,Oregon,NA,NA,62,15750
555265,Washington,NA,NA,25,56000
555865,Washington,68,55800,NA,NA
556375,Washington,NA,NA,57,0
557602,Washington,27,58000,NA,NA
558505,Washington,72,79900,NA,NA
559554,Oregon,39,25000,NA,NA
559836,Washington,59,25700,NA,NA
561327,Oregon,NA,NA,56,24000
561426,Washington,NA,NA,56,0
561521,Oregon,67,13000,NA,NA
562030,Washington,35,40210,NA,NA
562611,Washington,41,90000,NA,NA
562666,Oregon,NA,NA,64,57001
564743,Washington,NA,NA,42,45000
564799,Washington,NA,NA,59,60000
565578,Washington,NA,NA,52,60000
565640,Oregon,37,32000,NA,NA
566425,Oregon,55,50000,NA,NA
566682,Oregon,59,7400,NA,NA
567458,Oregon,NA,NA,47,0
568532,Oregon,NA,NA,41,80
568819,Oregon,NA,NA,58,13400
570441,Oregon,NA,NA,40,0
570598,Oregon,39,49230,NA,NA
570716,Washington,68,21000,NA,NA
570754,Oregon,NA,NA,65,3900
571311,Washington,NA,NA,69,3200
573369,Oregon,NA,NA,67,88600
574115,Washington,NA,NA,55,28600
575288,Washington,25,50000,NA,NA
576642,Oregon,78,16200,NA,NA
577348,Washington,NA,NA,61,25000
577572,Washington,72,49200,NA,NA
578146,Washington,NA,NA,66,55000
578658,Oregon,36,50000,NA,NA
578992,Oregon,NA,NA,37,0
579180,Oregon,NA,NA,40,122400
581900,Washington,53,70,NA,NA
582111,Oregon,NA,NA,68,2600
583195,Washington,53,117400,NA,NA
583363,Washington,NA,NA,69,10000
583881,Washington,54,25000,NA,NA
584291,Oregon,NA,NA,33,87000
584327,Oregon,NA,NA,34,102000
585955,Oregon,NA,NA,75,30000
586259,Washington,79,30100,NA,NA
586852,Oregon,28,38500,NA,NA
588181,Oregon,57,119700,NA,NA
