"year","region","abbreviation","totalballots","vap","vep"
"1990","nevada","NV","325959","926572","858029"
"1990","new hampshire","NH","307700","832887","814887"
"1990","new mexico","NM","429509","1076522","1026980"
"1990","new york","NY","4290261","13742688","12270687"
"1990","north carolina","NC","","5073437","4940273"
"1990","ohio","OH","3620469","8103382","7974319"
"1990","oklahoma","OK","929639","2313340","2250913"
"1990","oregon","OR","1133125","2137314","2058153"
"1990","rhode island","RI","375188","780448","724786"
"1990","south carolina","SC","793614","2598170","2537780"
"1990","south dakota","SD","","499072","494737"
"1990","tennessee","TN","","3693970","3626343"
"1990","texas","TX","","12232761","11038055"
"1990","virginia","VA","","4715129","4512806"
"1990","washington","WA","1362651","3634031","3421383"
"1990","wisconsin","WI","","3617625","3540729"
"1990","wyoming","WY","164309","319255","312830"
