household_id,state,person,age,total_income
323802,Oregon,wife,76,69400
324343,Oregon,husband,34,30000
324343,Oregon,wife,35,42800
324798,Washington,husband,63,10000
324798,Washington,wife,65,18500
325311,Washington,husband,34,14000
325311,Washington,wife,23,11000
325946,Washington,husband,61,24000
325946,Washington,wife,60,0
326239,Oregon,husband,42,95020
326239,Oregon,wife,37,0
328849,Washington,husband,75,17000
328849,Washington,wife,81,9200
328960,Oregon,husband,72,97200
328960,Oregon,wife,73,6200
329219,Washington,husband,82,37200
329219,Washington,wife,78,20400
330928,Oregon,husband,59,96000
330928,Oregon,wife,59,380
331645,Washington,husband,46,100000
331645,Washington,wife,40,700
334727,Washington,husband,56,104000
334727,Washington,wife,58,24000
335669,Washington,husband,77,25000
335669,Washington,wife,76,8800
335846,Washington,husband,58,21000
335846,Washington,wife,60,26000
336674,Washington,husband,51,130000
336674,Washington,wife,46,100000
337015,Oregon,husband,34,83000
337015,Oregon,wife,36,0
337180,Oregon,husband,52,80000
337180,Oregon,wife,52,0
337966,Oregon,husband,60,10000
337966,Oregon,wife,58,0
338622,Oregon,husband,37,92000
338622,Oregon,wife,35,82000
339040,Washington,husband,49,28000
339040,Washington,wife,46,0
342380,Washington,husband,63,87220
342380,Washington,wife,72,5900
342430,Oregon,husband,83,13600
342430,Oregon,wife,75,11400
343617,Washington,husband,50,50000
343617,Washington,wife,44,100
343801,Oregon,husband,42,114000
